id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition,kitchen,region,Province,sq_m_price,sq_m_land_price
8944414,8400,APARTMENT,FLAT_STUDIO,130000,FOR_SALE,0,45.0,INSTALLED,False,False,True,11.0,False,-1.0,56.0,1,False,TO_RENOVATE,True,VLA,VWV,2888.8888888888887,2321.4285714285716
8986210,8660,APARTMENT,FLAT_STUDIO,132500,FOR_SALE,0,35.0,INSTALLED,True,False,True,-1.0,True,-1.0,34.0,2,False,GOOD,True,VLA,VWV,3785.714285714286,3897.0588235294117
8938276,1020,APARTMENT,APARTMENT,135000,FOR_SALE,1,60.0,USA_SEMI_EQUIPPED,False,False,True,9.0,False,-1.0,69.0,-1,False,GOOD,True,BXL,BXL,2250.0,1956.5217391304348
8897004,4430,APARTMENT,APARTMENT,137000,FOR_SALE,2,90.0,INSTALLED,False,False,False,-1.0,False,-1.0,89.0,-1,False,TO_BE_DONE_UP,True,WAL,WLG,1522.2222222222222,1539.3258426966293
8977611,9600,APARTMENT,APARTMENT,138000,FOR_SALE,2,84.0,SEMI_EQUIPPED,True,False,True,3.0,False,-1.0,87.0,3,False,GOOD,True,VLA,VOV,1642.857142857143,1586.2068965517242
8881870,1030,APARTMENT,APARTMENT,139000,FOR_SALE,1,28.0,INSTALLED,True,False,True,2.0,False,-1.0,30.0,4,False,GOOD,True,BXL,BXL,4964.285714285715,4633.333333333333
8881869,1030,APARTMENT,APARTMENT,139000,FOR_SALE,1,30.0,INSTALLED,True,False,False,-1.0,False,-1.0,29.0,4,False,GOOD,True,BXL,BXL,4633.333333333333,4793.103448275862
8882757,1081,APARTMENT,APARTMENT,139000,FOR_SALE,1,48.0,HYPER_EQUIPPED,False,False,True,8.0,False,-1.0,56.0,-1,False,TO_BE_DONE_UP,True,BXL,BXL,2895.8333333333335,2482.1428571428573
8920086,8370,APARTMENT,APARTMENT,139000,FOR_SALE,2,60.0,INSTALLED,True,False,False,-1.0,False,-1.0,59.0,2,False,GOOD,True,VLA,VWV,2316.6666666666665,2355.9322033898306
8975879,6230,HOUSE,HOUSE,139500,FOR_SALE,2,110.0,USA_INSTALLED,False,False,False,-1.0,True,90.0,150.0,2,False,JUST_RENOVATED,True,WAL,WHT,1268.1818181818182,930.0
8878536,6200,HOUSE,HOUSE,139900,FOR_SALE,4,130.0,INSTALLED,True,False,True,22.0,True,78.0,230.0,3,False,GOOD,True,WAL,WHT,1076.1538461538462,608.2608695652174
8966313,6700,APARTMENT,APARTMENT,140000,FOR_SALE,1,59.0,INSTALLED,False,False,False,-1.0,False,-1.0,58.0,-1,False,GOOD,True,WAL,WLX,2372.8813559322034,2413.793103448276
8881954,4101,APARTMENT,APARTMENT,145000,FOR_SALE,2,81.0,NOT_INSTALLED,False,False,False,-1.0,False,-1.0,80.0,3,False,GOOD,True,WAL,WLG,1790.1234567901236,1812.5
8878020,7340,HOUSE,HOUSE,145000,FOR_SALE,3,145.0,SEMI_EQUIPPED,False,False,True,12.0,True,120.0,200.0,2,False,GOOD,True,WAL,WHT,1000.0,725.0
8848600,9600,HOUSE,HOUSE,145000,FOR_SALE,3,150.0,USA_HYPER_EQUIPPED,False,False,False,-1.0,False,-1.0,90.0,2,False,JUST_RENOVATED,True,VLA,VOV,966.6666666666666,1611.111111111111
8985511,9600,HOUSE,HOUSE,149000,FOR_SALE,2,130.0,INSTALLED,False,False,False,-1.0,False,-1.0,50.0,2,False,GOOD,True,VLA,VOV,1146.1538461538462,2980.0
8828606,7300,HOUSE,HOUSE,149500,FOR_SALE,3,160.0,USA_SEMI_EQUIPPED,False,False,True,93.0,False,-1.0,195.0,2,False,GOOD,True,WAL,WHT,934.375,766.6666666666666
9000282,6031,HOUSE,HOUSE,149900,FOR_SALE,4,160.0,SEMI_EQUIPPED,False,False,True,10.0,True,400.0,690.0,3,False,TO_RENOVATE,True,WAL,WHT,936.875,217.2463768115942
8982126,4100,APARTMENT,APARTMENT,150000,FOR_SALE,2,82.0,INSTALLED,False,False,True,-1.0,True,109.0,81.0,3,False,TO_RENOVATE,True,WAL,WLG,1829.2682926829268,1851.851851851852
8877657,7060,APARTMENT,APARTMENT,150000,FOR_SALE,2,85.0,SEMI_EQUIPPED,False,False,True,15.0,True,-1.0,100.0,4,False,TO_BE_DONE_UP,True,WAL,WHT,1764.7058823529412,1500.0
8903336,6700,APARTMENT,APARTMENT,154900,FOR_SALE,2,84.0,INSTALLED,False,False,True,-1.0,False,-1.0,83.0,2,False,TO_BE_DONE_UP,True,WAL,WLX,1844.047619047619,1866.2650602409637
8806999,2020,APARTMENT,APARTMENT,155000,FOR_SALE,2,75.0,INSTALLED,True,False,True,5.0,False,-1.0,80.0,-1,False,GOOD,True,VLA,VAN,2066.6666666666665,1937.5
9011709,4520,HOUSE,HOUSE,155000,FOR_SALE,2,90.0,INSTALLED,False,False,True,-1.0,True,642.0,861.0,3,False,GOOD,True,WAL,WLG,1722.2222222222222,180.02322880371662
8987961,5300,APARTMENT,APARTMENT,155000,FOR_SALE,1,50.0,SEMI_EQUIPPED,False,False,True,20.0,False,-1.0,70.0,2,False,TO_BE_DONE_UP,True,WAL,WNA,3100.0,2214.285714285714
8990483,4053,HOUSE,HOUSE,159000,FOR_SALE,1,70.0,INSTALLED,False,False,True,-1.0,True,200.0,240.0,2,False,GOOD,True,WAL,WLG,2271.4285714285716,662.5
8990481,4053,HOUSE,HOUSE,159000,FOR_SALE,2,70.0,INSTALLED,False,False,True,-1.0,True,200.0,240.0,2,False,GOOD,True,WAL,WLG,2271.4285714285716,662.5
8956842,4500,APARTMENT,APARTMENT,159000,FOR_SALE,2,119.0,NOT_INSTALLED,False,False,True,4.0,False,-1.0,123.0,2,False,TO_BE_DONE_UP,True,WAL,WLG,1336.1344537815125,1292.6829268292684
8875393,4000,APARTMENT,APARTMENT,159500,FOR_SALE,2,79.0,NOT_INSTALLED,True,False,False,-1.0,False,-1.0,78.0,-1,False,AS_NEW,True,WAL,WLG,2018.987341772152,2044.871794871795
8629345,8370,APARTMENT,APARTMENT,162000,FOR_SALE,1,51.0,INSTALLED,True,False,True,-1.0,False,-1.0,50.0,2,False,GOOD,True,VLA,VWV,3176.470588235294,3240.0
8928185,1400,APARTMENT,APARTMENT,165000,FOR_SALE,2,70.0,INSTALLED,True,False,True,20.0,False,-1.0,90.0,-1,False,GOOD,True,WAL,WBR,2357.1428571428573,1833.3333333333333
9012849,6887,HOUSE,HOUSE,164999,FOR_SALE,4,147.0,SEMI_EQUIPPED,False,False,True,12.0,True,866.0,1025.0,3,False,GOOD,True,WAL,WLX,1122.4421768707482,160.97463414634146
